MA,PhD,University,BA,MUPP,University of Massachusetts,Roxbury Community College,University of Massachusetts Boston,Certificate,MA (Humanitarian Assistance),MA (Professional Communication),Graduate Certificate,M.A in Teaching and Learning Spanish and its Culture,PhD in Resource Economics,BA (Political Science),Bachelor Degree in Liberal Arts,Associates Degree in Science,MS,ABD,MEd,PhD in Language,M.A. in Education,MFA,PhD with distinction,MFA in Integrated Electronic Arts,PhD 1986,PhD 1994,BFA & BA,MPhil,BFA,D.Phil.,Masters in South Asia Studies,LCSW,PhD (Communication),BS,PhD (Mass Communication),MA (Advertising),PhD (Communication Studies),MA (Communication),MA (Linguistics),BA (English),MA (American Studies),MA (Sociocultural Anthropology),MBA,MA (Mass Communication),BA (Communication),CAGS,MPPA,PhD (History),BA (History),MA/MPhil (History) Columbia University,BA (History/Politics) Monash University,MA (History) Monash University,Ph.D. (ABD) Translation Pedagogy,MMEd,BMus,BM,Masters of Music,MM,Diploma,DMA,PGD,Bachelor of Music
,,Massachusetts College of Art and Design,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,Clark University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,Ohio State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,College of Wooster,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,,2009,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,2.0,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,University of Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,University of Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,University of Texas - Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,Beijing Foreign Studies University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,Yantain University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2.0,2.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
